station,zone,daily_total,lambda_peak_15min,trains_peak_15min,mu_peak_15min,rho,lines
Hatton Cross,5/6,4809.22,144.9,6.0,4800.0,0.0302,Piccadilly
Southwark,1,16809.6,350.6,14.67,11733.3,0.0299,Jubilee
Haggerston,2,5273.43,190.3,8.0,6400.0,0.0297,LO Windrush
Canonbury,2,4696.27,211.3,8.92,7133.3,0.0296,LO Mildmay/LO Windrush
Stockwell,2,13101.37,740.8,31.33,25066.7,0.0296,Northern/Victoria
West Silvertown,3,4093.41,156.8,6.67,5333.3,0.0294,DLR
Ravenscourt Park,2,4818.65,150.5,6.42,5133.3,0.0293,District
South Ealing,3,3675.21,158.2,6.75,5400.0,0.0293,Piccadilly
Canary Wharf DLR,2,18530.98,155.6,6.67,5333.3,0.0292,DLR
Perivale,4,2972.72,128.6,5.5,4400.0,0.0292,Central
Tower Gateway,1,3764.42,38.5,1.67,1333.3,0.0289,DLR
Devons Road,2,3991.16,152.4,6.67,5333.3,0.0286,DLR
Redbridge,4,3530.11,151.7,6.67,5333.3,0.0284,Central
Plaistow,3,7930.9,275.4,12.17,9733.3,0.0283,District/H&C and Circle
Harlesden,3,5102.97,146.6,6.5,5200.0,0.0282,Bakerloo/LO Lioness
Holloway Road,2,9019.26,262.7,11.67,9333.3,0.0281,Piccadilly
Finchley Road & Frognal,2,3903.39,108.3,4.83,3866.7,0.028,LO Mildmay
Warwick Avenue,2,5237.38,212.2,9.58,7666.7,0.0277,Bakerloo
Bromley-by-Bow,2/3,6586.2,268.5,12.17,9733.3,0.0276,District/H&C and Circle
Chalk Farm,2,8541.01,240.8,10.92,8733.3,0.0276,Northern
Shadwell DLR,2,10192.65,294.0,13.33,10666.7,0.0276,DLR
Northwood Hills,6,2480.43,133.8,6.08,4866.7,0.0275,Metropolitan
Burnt Oak,4,5466.63,218.8,10.0,8000.0,0.0274,Northern
Acton Town,3,8221.41,329.6,15.08,12066.7,0.0273,District/Piccadilly
Arnos Grove,4,5483.33,217.9,10.0,8000.0,0.0272,Piccadilly
Goldhawk Road,2,3143.81,132.6,6.08,4866.7,0.0272,H&C and Circle
South Quay,2,7317.27,212.4,9.75,7800.0,0.0272,DLR
Mile End,2,18658.3,555.3,25.58,20466.7,0.0271,Central/District/H&C and Circle
Swiss Cottage,2,9688.79,314.0,14.67,11733.3,0.0268,Jubilee
Notting Hill Gate,1/2,18384.58,417.0,19.5,15600.0,0.0267,Central/District/H&C and Circle
Abbey Road,2/3,2345.28,70.9,3.33,2666.7,0.0266,DLR
Kenton,4,3339.0,95.7,4.5,3600.0,0.0266,Bakerloo/LO Lioness
Maida Vale,2,4862.98,205.9,9.67,7733.3,0.0266,Bakerloo
North Wembley,4,2614.38,97.7,4.58,3666.7,0.0266,Bakerloo/LO Lioness
Tufnell Park,2,5393.87,232.6,10.92,8733.3,0.0266,Northern
Iver,CPC,938.51,48.6,2.33,1866.7,0.0261,Elizabeth Line
West Harrow,5,1962.21,93.9,4.5,3600.0,0.0261,Metropolitan
Cannon Street LU,1,9749.03,284.5,13.67,10933.3,0.026,District/H&C and Circle
Canons Park,5,3812.94,185.3,8.92,7133.3,0.026,Jubilee
Oval,2,8903.93,283.1,13.67,10933.3,0.0259,Northern
Dollis Hill,3,5489.59,214.1,10.42,8333.3,0.0257,Jubilee
Osterley,4,2848.71,123.5,6.0,4800.0,0.0257,Piccadilly
Crossharbour,2,4973.41,199.3,9.75,7800.0,0.0256,DLR
Ruislip Gardens,5,1593.56,82.7,4.08,3266.7,0.0253,Central
St. John's Wood,2,10267.57,297.4,14.67,11733.3,0.0253,Jubilee
Clapham North,2,7515.75,274.2,13.67,10933.3,0.0251,Northern
Shadwell LO,2,6084.5,159.4,8.0,6400.0,0.0249,LO Windrush
