line,direction,from_station,to_station,total,early,am_peak,midday,pm_peak,evening,late
Central,WB,Leyton,Stratford,450.0,26.0,85.0,147.0,81.0,73.0,38.0
Central,WB,Stratford,Mile End,450.0,25.0,85.0,147.0,81.0,73.0,39.0
Central,WB,Mile End,Bethnal Green LU,450.0,24.0,84.0,147.0,81.0,73.0,41.0
Central,WB,Bethnal Green LU,Liverpool Street LU,450.0,22.0,85.0,147.0,81.0,73.0,42.0
Central,WB,Liverpool Street LU,Bank and Monument,450.0,21.0,85.0,147.0,81.0,73.0,43.0
Central,WB,Bank and Monument,St. Paul's,450.0,20.0,85.0,147.0,81.0,73.0,44.0
Central,WB,St. Paul's,Chancery Lane,450.0,20.0,84.0,147.0,81.0,73.0,45.0
Central,WB,Chancery Lane,Holborn,450.0,19.0,84.0,147.0,81.0,74.0,45.0
Central,WB,Holborn,Tottenham Court Road,450.0,19.0,84.0,147.0,81.0,73.0,46.0
Central,WB,Tottenham Court Road,Oxford Circus,450.0,18.0,84.0,147.0,81.0,73.0,47.0
